SSID,RSS,Unit,Time,Batch
ir6-hotspot,62.000000,%,20:57:19,0
irobot7-ThinkPad-X131e,64.000000,%,20:57:19,0
ir6-hotspot,62.000000,%,20:57:19,1
irobot7-ThinkPad-X131e,64.000000,%,20:57:19,1
ir2-hotspot,80.000000,%,20:57:19,1
ir5-hotspot,76.000000,%,20:57:19,1
msg-Latitude-E6420,93.000000,%,20:57:19,1
ir2-hotspot,91.000000,%,20:57:40,2
ir5-hotspot,92.000000,%,20:57:40,2
irobot7-ThinkPad-X131e,92.000000,%,20:57:40,2
ir6-hotspot,76.000000,%,20:57:41,3
ir5-hotspot,84.000000,%,20:58:00,4
irobot7-ThinkPad-X131e,70.000000,%,20:58:00,4
ir6-hotspot,76.000000,%,20:58:03,5
ir2-hotspot,92.000000,%,20:58:25,7
ir6-hotspot,92.000000,%,20:58:25,7
irobot7-ThinkPad-X131e,84.000000,%,20:58:25,7
msg-Latitude-E6420,92.000000,%,20:58:25,7
ir6-hotspot,84.000000,%,20:58:43,8
irobot7-ThinkPad-X131e,84.000000,%,20:58:43,8
msg-Latitude-E6420,84.000000,%,20:58:43,8
ir6-hotspot,72.000000,%,20:58:47,9
irobot7-ThinkPad-X131e,84.000000,%,20:58:47,9
msg-Latitude-E6420,96.000000,%,20:58:47,9
irobot7-ThinkPad-X131e,84.000000,%,20:59:05,10
ir6-hotspot,76.000000,%,20:59:08,11
irobot7-ThinkPad-X131e,92.000000,%,20:59:08,11
ir6-hotspot,84.000000,%,20:59:27,12
irobot7-ThinkPad-X131e,84.000000,%,20:59:27,12
msg-Latitude-E6420,88.000000,%,20:59:27,12
ir6-hotspot,76.000000,%,20:59:30,13
irobot7-ThinkPad-X131e,74.000000,%,20:59:30,13
ir6-hotspot,92.000000,%,20:59:48,14
msg-Latitude-E6420,96.000000,%,20:59:48,14
ir2-hotspot,96.000000,%,20:59:52,15
irobot7-ThinkPad-X131e,88.000000,%,20:59:52,15
